Loading repository data...
Reading installed packages...
S  | Repository                             | Name                                       | Version                                      | Arch
v  | Visual Studio Code                     | code                                       | 1.50.1-1602601064.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.50.0-1602051243.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.49.3-1601661990.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.49.2-1600965486.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.49.1-1600299354.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.49.0-1599744701.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.48.2-1598353576.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.48.1-1597857778.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.48.0-1597305152.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.47.3-1595520197.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.47.2-1594838045.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.47.1-1594686424.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.47.0-1594284094.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.46.1-1592429042.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.46.0-1591780147.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.45.1-1589445456.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.45.0-1588868440.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.44.2-1587059974.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.44.1-1586789444.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.44.0-1586345467.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.43.2-1585036535.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.43.1-1584516036.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.43.0-1583783294.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.42.1-1581433057.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.42.0-1580986751.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.41.1-1576681965.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.41.0-1576089692.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.40.2-1574694258.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.40.1-1573664332.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.40.0-1573064644.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.39.2-1571154220.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.39.1-1570750844.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.39.0-1570604849.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.38.1-1568209352.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.38.0-1567548134.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.37.1-1565886496.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.37.0-1565228125.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.36.1-1562627663.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.36.0-1562161214.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.35.1-1560350390.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.35.0-1559611476.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.34.0-1557958058.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.33.1-1554971173.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.33.0-1554390950.el7                        | x86_64
